# ----------------------------------------
# トラフィック獲得: セッションのメインのチャネル グループ（デフォルト チャネル グループ）
# アカウント: www.b-mode.info
# プロパティ: b.mode test
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260215
# 終了日: 20260314
セッションのメインのチャネル グループ（デフォルト チャネル グループ）,セッション,エンゲージのあったセッション数,エンゲージメント率,セッションあたりの平均エンゲージメント時間,セッションあたりのイベント数,イベント数,キーイベント,セッション キーイベント率,合計収益
Direct,365,165,0.4520547945205479,16.986301369863014,5.227397260273973,1908,0,0,0
Organic Search,215,148,0.6883720930232559,48.92093023255814,7.283720930232558,1566,0,0,0
Referral,67,47,0.7014925373134329,21.08955223880597,6.029850746268656,404,0,0,0
Organic Social,14,4,0.2857142857142857,2.7857142857142856,3.357142857142857,47,0,0,0
Unassigned,1,0,0,0,3,3,0,0,0
