# ----------------------------------------
# ユーザーの環境の詳細: ブラウザ
# アカウント: Tommy's SPA
# プロパティ: Tommy's SPA
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20260215
# 終了日: 20260314
ブラウザ,アクティブ ユーザー,新規ユーザー数,エンゲージのあったセッション数,エンゲージメント率,エンゲージメントのあったセッション数（1 アクティブ ユーザーあたり）,アクティブ ユーザーあたりの平均エンゲージメント時間,イベント数,キーイベント,合計収益
Chrome,89,89,13,0.13541666666666666,0.14606741573033707,12.303370786516854,378,0,0
Safari,20,20,18,0.5625,0.9,148.85,211,0,0
Safari (in-app),5,5,16,0.64,3.2,35.6,103,0,0
Edge,3,3,3,1,1,285.6666666666667,13,0,0
Firefox,2,2,0,0,0,2.5,7,0,0
